Site,Country,Plot ID,CameraID,CameraName,Latitude,Longitude,Elevation_metadata_m,Field of view,Camera model
Bicuar National Park,Angola,P2,ABG021,ABG021,-15.1141250040382,14.8137239646166,1241.464966,Ground Layer + Canopy,Bushnell 119932M
Bicuar National Park,Angola,P2,ABG022,ABG022,-15.1137769874185,14.8134379740804,1241.22851599999,Ground Layer + Canopy,Bushnell 119932M
Bicuar National Park,Angola,P2,ABG023,ABG023,-15.1136139594018,14.813881041482,1244.34789999999,Ground Layer + Canopy,Bushnell 119932M
Bicuar National Park,Angola,P10,ABG101,ABG101,-15.0988079980015,14.8382840305566,1235.30981399999,Ground Layer + Canopy,Bushnell 119932M
Bicuar National Park,Angola,P10,ABG102,ABG102,-15.0986650027334,14.8379110358655,1233.08435099999,Ground Layer + Canopy,Bushnell 119932M
Bicuar National Park,Angola,P10,ABG103,ABG103,-15.0988540146499,14.8387219849973,1237.72448699999,Ground Layer + Canopy,Bushnell 119932M
Bicuar National Park,Angola,P12,ABG121,ABG121,-15.116883,14.906808,1235,Ground Layer + Canopy,Bushnell 119932M
Bicuar National Park,Angola,P12,ABG122,ABG122,-15.116584,14.906541,1236,Ground Layer + Canopy,Bushnell 119932M
Bicuar National Park,Angola,P12,ABG123,ABG123,-15.116338,14.906934,1236,Ground Layer + Canopy,Bushnell 119932M
Bicuar National Park,Angola,P9,ABG901,ABG901,-15.1964699942618,14.8137969709932,1228.037231,Ground Layer + Canopy,Bushnell 119932M
Bicuar National Park,Angola,P9,ABG902,ABG902,-15.1967800408601,14.8136730026453,1236.00537099999,Ground Layer + Canopy,Bushnell 119932M
Bicuar National Park,Angola,P9,ABG903,ABG903B,-15.19664,14.81426,1231,Ground Layer + Canopy,Bushnell 119736
Fazenda Água Limpa (UnB),Brazil,PLOT #11,FAL_Tower,FAL_TOWER,-15.953865,-47.916401,1133,Ground Layer + Canopy,119949C
Fazenda Água Limpa (UnB),Brazil,FAL-01,FAL111,FAL111,-15.976959,-47.93651,1196,Ground Layer + Canopy,119949C
Fazenda Água Limpa (UnB),Brazil,FAL-01,FAL122,FAL122,-15.9776,-47.936242,1197,Ground Layer + Canopy,119949C
Fazenda Água Limpa (UnB),Brazil,FAL-01,FAL133,FAL133,-15.977525,-47.936008,1197,Ground Layer + Canopy,119949C
Fazenda Água Limpa (UnB),Brazil,FAL-02,FAL211,FAL211,-15.975102,-47.92864,1201,Ground Layer + Canopy,119949C
Fazenda Água Limpa (UnB),Brazil,FAL-02,FAL222,FAL222,-15.975775,-47.929428,1204,Ground Layer + Canopy,119949C
Fazenda Água Limpa (UnB),Brazil,FAL-02,FAL233,FAL233,-15.976082,-47.928647,1203,Ground Layer + Canopy,119949C
Fazenda Água Limpa (UnB),Brazil,FAL-03,FAL311,FAL311,-15.953119,-47.924901,1121,Canopy,119932M
Fazenda Água Limpa (UnB),Brazil,FAL-03,FAL312,FAL312,-15.953119,-47.924901,1121,Ground Layer,119932M
Fazenda Água Limpa (UnB),Brazil,FAL-03,FAL321,FAL321,-15.952963,-47.925674,1121,Canopy,119932M
Fazenda Água Limpa (UnB),Brazil,FAL-03,FAL322,FAL322,-15.952963,-47.925674,1121,Ground Layer,119932M
